epoch,train_loss,valid_loss
1,1.2047,0.9772
2,0.9527,0.9719
3,0.9285,1.0058
4,0.9366,0.9419
5,0.9257,0.9510
6,0.9205,0.9154
7,0.9115,0.9191
8,0.9112,0.9386
9,0.8980,0.8975
10,0.9046,0.9057
11,0.9017,0.9041
12,0.9117,0.9159
13,0.8997,0.9342
14,0.8925,0.9007
15,0.8979,0.9188
16,0.9045,0.9229
17,0.8916,0.8931
18,0.8930,0.8902
19,0.8817,0.8872
20,0.8887,0.9107
21,0.8907,0.8873
22,0.8781,0.8818
23,0.8958,0.8871
24,0.9078,0.8955
25,0.8967,0.9016
26,0.8932,0.9194
27,0.8929,0.8868
28,0.9003,0.9131
29,0.8901,0.9317
30,0.9051,0.8816
31,0.8975,0.8846
32,0.8865,0.8770
33,0.8884,0.9186
34,0.8956,0.8856
35,0.8895,0.9151
36,0.8794,0.8963
37,0.9039,0.8778
38,0.8925,0.8768
39,0.8828,0.9065
40,0.8777,0.8983
41,0.8884,0.8833
42,0.8956,0.8740
43,0.8849,0.8905
44,0.8821,0.8870
45,0.8726,0.9276
46,0.8783,0.9165
47,0.8749,0.8911
48,0.8871,0.9021
49,0.8855,0.8905
50,0.8813,0.8969
51,0.8951,0.9059
52,0.8754,0.8912
53,0.9015,0.9324
54,0.8728,0.8881
55,0.8970,0.8995
56,0.8948,0.8786
57,0.8898,0.8829
58,0.8874,0.8747
59,0.8896,0.9278
60,0.8885,0.8862
61,0.8906,0.8870
62,0.8835,0.8887
63,0.8721,0.9005
64,0.8906,0.8995
65,0.8762,0.8828
66,0.8791,0.9040
67,0.8788,0.9140
68,0.8851,0.8809
